City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
61,Waingapu,ID,77.02,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
67,Moyobamba,PE,82.92,scattered clouds,-6.05,-76.9667,Hospedaje Mariluna
71,Tocopilla,CL,70.2,few clouds,-22.092,-70.1979,Hotel Galvarino
74,Bambous Virieux,MU,75.45,few clouds,-20.3428,57.7575,Casa Tia Villa
76,Pandan,PH,79.2,overcast clouds,14.0453,124.1694,Bonifacio Lodge
77,Ocara,BR,81.43,broken clouds,-4.4908,-38.5967,Pousada familiar
79,Caravelas,BR,75.49,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
81,Ambilobe,MG,74.52,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
84,Sambava,MG,74.75,broken clouds,-14.2667,50.1667,Melrose
85,Puerto Ayora,EC,78.76,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
88,Garowe,SO,89.67,overcast clouds,8.4054,48.4845,Curubo Hotel
91,Surat,IN,85.98,scattered clouds,21.1667,72.8333,HOTEL VETROINN SPICE
99,Karratha,AU,77.88,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
100,Ribeira Brava,PT,72.01,clear sky,32.65,-17.0667,Hotel do Campo
101,Port Blair,IN,82.96,moderate rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
103,Mandera,KE,86.94,scattered clouds,3.9366,41.867,Red Sea Resort & Suites Mandera County
104,Monrovia,LR,78.15,light rain,6.3005,-10.7969,Sunset Inn
106,Bonthe,SL,78.6,light rain,7.5264,-12.505,Bonthe Holiday Village
107,Saint-Philippe,RE,71.19,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
109,Victoria,HK,77.38,overcast clouds,22.2855,114.1577,Mini Central
111,Jalu,LY,77.52,clear sky,29.0331,21.5482,صاحبة الفخامة
112,Oussouye,SN,86.18,overcast clouds,12.485,-16.5469,Auberge du Routard
115,Natal,BR,79.45,overcast clouds,-5.795,-35.2094,Villa Park Hotel | Natal
118,Saint George,US,83.62,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
121,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
127,Chaozhou,CN,71.46,overcast clouds,23.6651,116.6379,Seven Corner View Homestay
129,Cam Ranh,VN,80.56,scattered clouds,11.9214,109.1591,OYO 598 Peony Hotel
