City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
142,Kozelsk,RU,54.0375,35.7716,40.48,72,6,7.2,clear sky
143,Isangel,VU,-19.55,169.2667,75.47,85,70,6.85,broken clouds
144,Lebu,CL,-37.6167,-73.65,52.27,87,100,11.05,overcast clouds
145,Nador,MA,35.174,-2.9287,80.67,47,0,13.8,clear sky
146,Castro,BR,-24.7911,-50.0119,66.0,40,2,5.53,clear sky
147,Morehead,US,37.2711,-87.1764,66.85,74,100,5.75,overcast clouds
148,Husavik,IS,66.0449,-17.3389,37.44,99,100,8.77,overcast clouds
149,Ribeira Grande,PT,38.5167,-28.7,64.8,100,75,2.3,light intensity drizzle
150,Nuuk,GL,64.1835,-51.7216,36.21,87,75,32.03,broken clouds
151,Sarakhs,IR,36.5449,61.1577,69.94,32,0,4.61,clear sky
152,San Quintin,MX,30.4833,-115.95,65.66,57,0,12.91,clear sky
153,Sangre Grande,TT,10.5835,-61.1177,87.93,67,67,11.25,broken clouds
154,Butaritari,KI,3.0707,172.7902,81.34,79,59,10.8,light rain
155,Simpang,ID,-1.2667,104.0833,74.97,98,86,3.09,overcast clouds
156,Liku,ID,-0.7275,119.8922,75.72,90,100,2.44,overcast clouds
157,Vostok,RU,46.4856,135.8833,40.19,95,88,2.86,overcast clouds
158,Shache,CN,38.4167,77.2406,71.51,32,100,12.03,overcast clouds
159,Puerto Maldonado,PE,-12.6,-69.1833,82.44,58,73,3.09,broken clouds
160,Chokurdakh,RU,70.6333,147.9167,32.68,100,100,3.36,overcast clouds
161,Nanortalik,GL,60.1432,-45.2371,37.51,98,100,6.85,light rain
162,Slovenska Bistrica,SI,46.3928,15.5744,71.47,69,90,4.61,overcast clouds
163,Nagato,JP,34.3833,131.2,67.19,91,5,5.06,clear sky
164,Kvam,NO,61.6656,9.6898,55.2,63,81,6.67,broken clouds
165,Kozluk,TR,38.1938,41.4885,62.85,36,91,5.86,overcast clouds
166,Upernavik,GL,72.7868,-56.1549,32.61,100,100,6.2,snow
167,Saint-Augustin,CA,51.226,-58.6502,54.21,81,74,11.92,broken clouds
168,Joao Pessoa,BR,-7.115,-34.8631,80.83,83,75,13.8,light rain
169,Port Elizabeth,ZA,-33.918,25.5701,57.09,88,0,3.44,clear sky
170,Airai,TL,-8.9266,125.4092,58.64,90,50,3.58,scattered clouds
171,Azangaro,PE,-14.9167,-70.2167,58.98,22,30,15.3,scattered clouds
172,Zhuhai,CN,22.2769,113.5678,77.86,88,40,16.11,light intensity shower rain
173,Hanna,CA,51.6334,-111.9018,56.86,30,10,1.01,clear sky
174,Gat,IL,31.61,34.7642,68.81,27,0,6.96,clear sky
175,Haines Junction,CA,60.7522,-137.5108,53.55,35,100,3.44,overcast clouds
176,Carnarvon,AU,-24.8667,113.6333,70.86,57,33,18.01,scattered clouds
177,Leningradskiy,RU,69.3833,178.4167,33.67,92,100,3.94,overcast clouds
178,Pangnirtung,CA,66.1451,-65.7125,35.6,69,75,6.91,broken clouds
179,Casablanca,MA,33.5928,-7.6192,73.62,75,75,11.5,broken clouds
180,Manta,EC,-0.95,-80.7333,83.98,70,40,11.5,scattered clouds
181,Barrow,US,71.2906,-156.7887,23.02,86,100,11.5,mist
182,Chuy,UY,-33.6971,-53.4616,64.35,52,0,4.43,clear sky
183,Mwinilunga,ZM,-11.7358,24.4293,62.37,56,68,5.32,broken clouds
184,Soubre,CI,5.7856,-6.6083,71.31,99,100,3.58,light rain
185,Sao Filipe,CV,14.8961,-24.4956,72.28,78,6,13.89,clear sky
186,Klaksvik,FO,62.2266,-6.589,50.92,89,53,3.78,broken clouds
187,Cabo San Lucas,MX,22.8909,-109.9124,85.3,47,0,0.0,clear sky
188,Bajos De Haina,DO,18.4154,-70.0332,91.36,65,40,11.5,scattered clouds
189,Drovyanaya,RU,51.5833,113.0333,53.64,65,99,10.27,overcast clouds
190,Kabompo,ZM,-13.5927,24.2008,59.14,54,20,6.04,few clouds
191,Mehamn,NO,71.0357,27.8492,40.91,88,95,5.59,overcast clouds
192,Turayf,SA,31.6725,38.6637,73.65,33,75,29.93,broken clouds
193,East London,ZA,-33.0153,27.9116,59.94,88,0,3.44,clear sky
194,Portland,US,45.5234,-122.6762,69.84,55,100,5.01,overcast clouds
195,Khatanga,RU,71.9667,102.5,31.82,93,100,6.78,overcast clouds
196,Belaya Kholunitsa,RU,58.84,50.8528,34.65,98,100,5.1,light snow
197,Arlit,NE,18.7369,7.3853,94.44,13,100,7.58,overcast clouds
198,Katobu,ID,-4.9408,122.5276,74.64,94,28,4.12,scattered clouds
199,Pangai,TO,-19.8,-174.35,77.11,83,40,4.61,scattered clouds
200,Maraa,BR,-1.8333,-65.3667,83.59,69,67,1.21,light rain
201,Dawlatabad,AF,36.4141,64.9053,65.12,28,0,6.29,clear sky
202,Mackenzie,CA,55.2999,-123.1698,59.22,33,0,4.61,clear sky
203,Creel,MX,27.75,-107.6333,77.83,10,8,11.92,clear sky
204,Itaituba,BR,-4.2761,-55.9836,91.56,55,20,0.0,few clouds
205,Kulhudhuffushi,MV,6.6221,73.07,83.23,78,21,14.63,few clouds
206,Swan Hill,AU,-35.3378,143.5544,48.42,69,0,7.31,clear sky
207,Quatre Cocos,MU,-20.2078,57.7625,75.31,70,25,15.64,scattered clouds
208,Leua,SK,48.2156,18.6071,62.69,71,10,6.62,clear sky
209,Virginia Beach,US,36.8529,-75.978,90.01,65,75,18.41,broken clouds
210,Ponta Do Sol,PT,32.6667,-17.1,72.01,75,14,2.06,few clouds
211,Benghazi,LY,32.1167,20.0667,67.62,66,0,5.5,clear sky
212,Hithadhoo,MV,-0.6,73.0833,83.86,72,90,11.77,overcast clouds
213,Moundsville,US,39.9203,-80.7431,76.84,87,100,9.95,light rain
214,Mamallapuram,IN,12.6264,80.1722,91.06,65,74,14.07,broken clouds
215,Arraial Do Cabo,BR,-22.9661,-42.0278,76.96,64,0,12.66,clear sky
216,Nampula,MZ,-15.1165,39.2666,73.35,83,0,8.05,clear sky
217,Yima,CN,34.7381,111.8839,62.51,71,54,3.33,broken clouds
218,Shibetsu,JP,43.659,145.132,48.92,98,100,5.37,moderate rain
219,Taldan,RU,53.6667,124.8,40.6,97,100,12.48,moderate rain
220,Joshimath,IN,30.5667,79.5667,58.33,84,68,1.86,broken clouds
221,Leh,IN,34.1667,77.5833,47.1,45,100,8.55,overcast clouds
222,Henties Bay,NA,-22.116,14.2845,61.81,62,7,8.93,clear sky
223,Dharmavaram,IN,14.4333,77.7167,79.59,68,57,21.25,broken clouds
224,Alta Floresta,BR,-9.8756,-56.0861,91.22,29,0,2.3,clear sky
225,Kahului,US,20.8947,-156.47,80.62,63,20,14.0,few clouds
226,Cururupu,BR,-1.8283,-44.8683,82.49,76,13,3.76,few clouds
227,Corleone,IT,37.8134,13.3017,67.37,49,0,3.85,clear sky
228,Loule,PT,37.1377,-8.0197,75.33,73,0,19.57,clear sky
229,Bukachacha,RU,52.9833,116.9167,43.86,88,100,3.13,light rain
230,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,75.2,37,0,5.66,clear sky
231,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.09,66,20,9.75,few clouds
232,Novosheshminsk,RU,55.0651,51.2338,36.73,81,10,4.07,clear sky
233,Oriximina,BR,-1.7656,-55.8661,85.51,60,15,5.03,few clouds
234,Mongo,TD,12.1844,18.693,97.59,16,100,5.01,overcast clouds
235,Cerqueira Cesar,BR,-23.0356,-49.1661,69.13,41,0,5.26,clear sky
236,Nome,US,64.5011,-165.4064,62.67,23,0,16.11,clear sky
237,Jimma,ET,7.6667,36.8333,60.98,89,43,2.21,scattered clouds
238,Marsa Matruh,EG,31.3525,27.2453,68.2,77,0,11.5,clear sky
239,Weinan,CN,34.5036,109.5089,65.59,49,0,4.7,clear sky
240,Trelew,AR,-43.249,-65.3051,48.52,79,100,14.74,moderate rain
241,Hokitika,NZ,-42.7167,170.9667,44.46,80,0,5.01,clear sky
242,Bethel,US,41.3712,-73.414,92.01,58,0,9.22,clear sky
243,Esperance,AU,-33.8667,121.9,63.0,74,24,10.92,few clouds
244,Mahebourg,MU,-20.4081,57.7,75.49,69,20,11.5,few clouds
245,Dunedin,NZ,-45.8742,170.5036,47.8,69,67,11.99,broken clouds
